dataset,split,missing_type,missing_rate,method,lambda,accuracy,balanced_accuracy,f1,roc_auc
biodeg,0,MAR1,0.4,pseudo_labeling,1.0,0.8530805687203792,0.8202497769848349,0.8976897689768977,0.9045495093666367
biodeg,0,MAR1,0.4,kmeans_majority,1.0,0.8246445497630331,0.8056980374665477,0.8745762711864407,0.8941793041926851
biodeg,0,MAR1,0.4,naive,1.0,0.8578199052132701,0.8339094558429974,0.9,0.9066681534344335
biodeg,0,MAR1,0.45,pseudo_labeling,1.0,0.8672985781990521,0.8456735057983943,0.9066666666666666,0.9058876003568243
biodeg,0,MAR1,0.45,kmeans_majority,1.0,0.8341232227488151,0.8226471900089206,0.8805460750853242,0.8890499553969671
biodeg,0,MAR1,0.45,naive,1.0,0.8483412322274881,0.84807091882248,0.8896551724137931,0.9072256913470117
biodeg,0,MAR1,0.5,pseudo_labeling,1.0,0.8578199052132701,0.8235392506690455,0.9013157894736842,0.9107939339875112
biodeg,0,MAR1,0.5,kmeans_majority,1.0,0.8151658767772512,0.7835637823371989,0.8695652173913043,0.8854817127564675
biodeg,0,MAR1,0.5,naive,1.0,0.8578199052132701,0.8442796610169492,0.8986486486486487,0.9092328278322925
biodeg,0,MAR1,0.55,pseudo_labeling,1.0,0.8625592417061612,0.8216436217662801,0.9055374592833876,0.91514272970562
biodeg,0,MAR1,0.55,kmeans_majority,1.0,0.7914691943127962,0.7671164139161463,0.8503401360544217,0.8599464763603926
biodeg,0,MAR1,0.55,naive,1.0,0.8436018957345972,0.8033006244424621,0.8918032786885246,0.9092328278322924
biodeg,0,MAR1,0.6000000000000001,pseudo_labeling,1.0,0.7819905213270142,0.6983162355040142,0.8544303797468354,0.8686440677966102
biodeg,0,MAR1,0.6000000000000001,kmeans_majority,1.0,0.7488151658767772,0.6441793041926851,0.8348909657320872,0.8310660124888493
biodeg,0,MAR1,0.6000000000000001,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9097903657448707
biodeg,0,MAR1,0.65,pseudo_labeling,1.0,0.7772511848341233,0.6950267618198037,0.8507936507936508,0.8458965209634254
biodeg,0,MAR1,0.65,kmeans_majority,1.0,0.7914691943127962,0.7619313113291704,0.8513513513513513,0.8657448706512043
biodeg,0,MAR1,0.65,naive,1.0,0.8625592417061612,0.8475691347011597,0.9023569023569024,0.9202720785013381
